## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/rds/general/user/la420/projects/neurogenomics-lab/live/Projects/CUT_n_TAG/test_data/alignment/sam/CST9733_1_100_H3K27me3_bowtie2.sorted.withDup.sam] OUTPUT=/rds/general/user/la420/projects/neurogenomics-lab/live/Projects/CUT_n_TAG/test_data/removeDuplicate/CST9733_1_100_H3K27me3_bowtie2.sorted.rmDup.sam METRICS_FILE=/rds/general/user/la420/projects/neurogenomics-lab/live/Projects/CUT_n_TAG/test_data/removeDuplicate/picard_summary/CST9733_1_100_H3K27me3_picard.rmDup.txt REMOVE_DUPLICATES=true TMP_DIR=[/rds/general/user/la420/projects/neurogenomics-lab/live/Projects/CUT_n_TAG/test_data/removeDuplicate/temp]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 04 23:09:04 BST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	9823687	0	176852	0	5611688	40160	0.571241	4861986

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.001269
2.0	1.134026
3.0	1.151627
4.0	1.153961
5.0	1.154271
6.0	1.154312
7.0	1.154317
8.0	1.154318
9.0	1.154318
10.0	1.154318
11.0	1.154318
12.0	1.154318
13.0	1.154318
14.0	1.154318
15.0	1.154318
16.0	1.154318
17.0	1.154318
18.0	1.154318
19.0	1.154318
20.0	1.154318
21.0	1.154318
22.0	1.154318
23.0	1.154318
24.0	1.154318
25.0	1.154318
26.0	1.154318
27.0	1.154318
28.0	1.154318
29.0	1.154318
30.0	1.154318
31.0	1.154318
32.0	1.154318
33.0	1.154318
34.0	1.154318
35.0	1.154318
36.0	1.154318
37.0	1.154318
38.0	1.154318
39.0	1.154318
40.0	1.154318
41.0	1.154318
42.0	1.154318
43.0	1.154318
44.0	1.154318
45.0	1.154318
46.0	1.154318
47.0	1.154318
48.0	1.154318
49.0	1.154318
50.0	1.154318
51.0	1.154318
52.0	1.154318
53.0	1.154318
54.0	1.154318
55.0	1.154318
56.0	1.154318
57.0	1.154318
58.0	1.154318
59.0	1.154318
60.0	1.154318
61.0	1.154318
62.0	1.154318
63.0	1.154318
64.0	1.154318
65.0	1.154318
66.0	1.154318
67.0	1.154318
68.0	1.154318
69.0	1.154318
70.0	1.154318
71.0	1.154318
72.0	1.154318
73.0	1.154318
74.0	1.154318
75.0	1.154318
76.0	1.154318
77.0	1.154318
78.0	1.154318
79.0	1.154318
80.0	1.154318
81.0	1.154318
82.0	1.154318
83.0	1.154318
84.0	1.154318
85.0	1.154318
86.0	1.154318
87.0	1.154318
88.0	1.154318
89.0	1.154318
90.0	1.154318
91.0	1.154318
92.0	1.154318
93.0	1.154318
94.0	1.154318
95.0	1.154318
96.0	1.154318
97.0	1.154318
98.0	1.154318
99.0	1.154318
100.0	1.154318

